Jordan Lee Pickford	Britanico	07-03-1994	185	28	Everton F. C.	Portero	00	00	
Nicholas David Pope	Britanico	19-04-1992	191	30	Newcastle United F. C.	Portero	00	00	
Aaron Christopher Ramsdale	Britanico	14-04-1998	188	24	Arsenal F. C.	Portero	00	00	
Kyle Andrew Walker	Britanico	28-05-1990	183	32	Manchester City F. C.	Defensa	00	00	
John Stones	Britanico	28-05-1994	188	28	Manchester City F. C.	Defensa	00	00	
Jacob Harry Maguire	Britanico	05-03-1993	194	29	Manchester United F. C.	Defensa	00	00	
Eric Jeremy Edgar Dier	Britanico	15-01-1994	188	28	Tottenham Hotspur F. C.	Defensa	00	00	
Kieran John Trippier	Britanico	19-09-1990	173	32	Newcastle United F. C.	Defensa	00	00	
Luke Paul Hoare Shaw	Britanico	12-07-1995	178	27	Manchester United F. C.	Defensa	00	00	
Trent John Alexander-Arnold	Britanico	07-10-1998	175	24	Liverpool F. C.	Defensa	00	00	
Conor David Coady	Britanico	25-02-1993	184	29	Everton F. C.	Defensa	00	00	
Benjamin William White	Britanico	08-10-1997	185	25	Arsenal F. C.	Defensa	00	00	
Jordan Brian Henderson	Britanico	17-06-1990	182	32	Liverpool F. C.	Mediocampista	00	00	
Declan Rice	Britanico	14-01-1999	185	23	West Ham United F. C.	Mediocampista	00	00	
Mason Tony Mount	Britanico	10-01-1999	180	23	Chelsea F. C.	Mediocampista	00	00	
Kalvin Mark Phillips	Britanico	02-12-1995	178	27	Manchester City F. C.	Mediocampista	00	00	
Jude Victor William Bellingham	Britanico	29-06-2003	186	19	Borussia Dortmund	Mediocampista	00	00	
Conor Gallagher	Britanico	06-02-2000	182	22	Chelsea F. C.	Mediocampista	00	00	
James Daniel Maddison	Britanico	23-11-1996	175	26	Leicester City F. C.	Delantero	00	00	
Jack Grealish	Britanico	10-09-1995	180	27	Manchester City F. C.	Delantero	00	00	
Philip Walter Foden	Britanico	28-05-2000	171	22	Manchester City F. C.	Delantero	00	00	
Harry Edward Kane	Britanico	28-07-1993	188	29	Tottenham Hotspur F. C.	Delantero	00	00	
Raheem Shaquille Sterling	Britanico	08-12-1994	170	27	Chelsea F. C.	Delantero	00	00	
Marcus Rashford	Britanico	31-10-1997	180	25	Manchester United F. C.	Delantero	00	00	
Bukayo Saka	Britanico	05-09-2001	178	21	Arsenal F. C.	Delantero	00	00	
Callum Eddie Graham Wilson	Britanico	27-02-1992	180	30	Newcastle United F. C.	Delantero	00	00	
Hugo Hadrien Dominique Lloris	Frances	26-12-1986	188	35	Tottenham Hotspur F. C.	Portero	00	00	
Steve Mandanda Mpidi	Frances	28-03-1985	185	37	Stade Rennais F. C.	Portero	00	00	
Alphonse Francis Areola	Frances	27-02-1993	195	29	West Ham United F. C.	Portero	00	00	
Raphaël Varane	Frances	25-04-1993	191	29	Manchester United F. C.	Defensa	00	00	
Jules Olivier Koundé	Frances	12-11-1998	178	24	F. C. Barcelona	Defensa	00	00	
Theo Hernandez	Frances	06-10-1997	184	25	AC Milan	Defensa	00	00	
Dayot Upamecano	Frances	27-10-1998	186	24	Bayern de Múnich	Defensa	00	00	
Ibrahima Konaté	Frances	25-05-1999	194	23	Liverpool F. C.	Defensa	00	00	
Axel Disasi 	Frances	11-03-1998	190	24	A. S. Mónaco F. C.	Defensa	00	00	
William Alain André Gabriel Saliba	Frances	24-03-2001	193	21	Arsenal F. C.	Defensa	00	00	
Benjamin Jacques Marcel Pavard	Frances	28-03-1996	186	26	F. C. Bayern de Múnich	Defensa	00	00	
Lucas François Bernard Hernández	Frances	14-02-1996	184	26	Bayern de Múnich	Defensa	00	00	
Eduardo Celmi Camavinga 	Frances	10-11-2002	182	20	Real Madrid C. F. 	Volante	00	00	
Aurélien Djani Tchouaméni	Frances	27-01-2000	187	22	Real Madrid C. F. 	Volante	00	00	
Kingsley Junior Coman 	Frances	13-06-1996	180	26	Bayern de Múnich	Volante	00	00	
Adrien Rabiot-Provost	Frances	03-04-1995	191	27	Juventus F. C.	Volante	00	00	
Youssouf Fofana	Frances	10-01-1999	178	23	A. S. Monaco F. C.	Volante	00	00	
Mattéo Elias Kenzo Guendouzi Olié	Frances 	14-04-1999	185	23	Olympique de Marsella	Volante	00	00	
Jordan Marcel Gilbert Veretout	Frances	01-03-1993	177	29	Olympique de Marsella	Volante	00	00	
Kylian Mbappé Lottin	Frances	20-12-1998	178	23	Paris Saint-Germain F. C.	Delantero	00	00	
Antoine Griezmann	Frances	21-03-1991	176	31	Atlético de Madrid	Delantero	00	00	
Masour Ousmane Dembélé	Frances	15-05-1997	178	25	F. C. Barcelona	Delantero	00	00	
Olivier Jonathan Giroud	Frances	30-09-1986	193	36	A. C. Milan	Delantero	00	00	
Marcus Lilian Thuram-Ulien	Frances	06-08-1997	192	25	Borussia Mönchengladbach	Delantero	00	00	
Randal Kolo Muani	Frances	05-12-1998	191	24	Eintracht Fráncfort	Delantero	00	00	
Christopher Alan Nkunku	Frances	14-11-1997	175	25	R. B. Leipzig	Delantero	00	00	
Karim Benzema	Frances	28-03-2007	185	34	Real Madrid C. F.	Delantero	00	00	
